date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2015-5-28,71,56,85,56,76,36,93,1992,2012,0.00,0.15,1.06
2015-5-29,74,64,84,56,76,36,91,1965,2006,0.10,0.16,2.02
2015-5-30,75,66,84,57,76,40,90,1990,1969,1.24,0.16,1.24
2015-5-31,59,51,67,57,77,40,91,1966,2011,0.47,0.16,2.08
2015-6-1,54,50,58,57,77,41,93,2003,1988,0.0,0.16,1.10
2015-6-2,56,46,66,58,77,36,93,1993,1988,0.00,0.17,2.12
2015-6-3,59,47,71,58,78,44,90,1969,2002,0.00,0.16,1.15
2015-6-4,68,55,80,58,78,43,97,1969,2011,0.00,0.16,1.22
2015-6-5,73,60,86,59,78,39,91,1990,2005,0.00,0.17,1.70
2015-6-6,69,63,75,59,79,41,91,1998,1999,0.00,0.17,2.65
2015-6-7,72,59,85,59,79,46,94,1977,2011,0.86,0.16,0.98
2015-6-8,69,60,77,60,79,45,95,1975,2011,0.95,0.17,3.30
2015-6-9,68,58,78,60,80,45,94,1988,1968,0.00,0.16,1.30
2015-6-10,79,67,90,60,80,44,94,1988,1968,0.00,0.15,0.89
2015-6-11,80,69,90,61,80,43,98,1980,1973,0.00,0.16,1.77
2015-6-12,78,71,85,61,81,44,92,1972,1968,0.90,0.14,1.48
2015-6-13,79,71,87,61,81,43,93,1985,1984,0.01,0.15,1.63
2015-6-14,80,73,86,62,81,47,94,2014,1984,0.57,0.15,1.57
2015-6-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-6-16,77,71,82,62,82,40,95,1969,1967,0.22,0.15,1.07
2015-6-17,76,70,82,62,82,46,91,1980,1967,0.22,0.15,0.79
2015-6-18,78,71,85,63,82,44,92,1999,1970,0.02,0.15,4.74
2015-6-19,71,67,75,63,83,51,92,1999,1984,2.29,0.15,2.29
2015-6-20,73,68,78,63,83,48,94,1980,1975,0.01,0.15,2.34
2015-6-21,74,66,82,63,83,41,94,1992,1975,0.11,0.15,0.82
2015-6-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-6-23,73,64,81,64,84,44,99,1992,1988,0.00,0.15,1.29
2015-6-24,69,60,77,64,84,46,94,1974,1968,0.0,0.15,1.19
2015-6-25,74,66,81,64,84,45,93,1986,1966,0.45,0.16,1.09
2015-6-26,69,63,74,64,84,46,102,2004,1988,0.44,0.15,1.23
2015-6-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-6-28,66,55,77,64,84,47,106,1992,2012,0.00,0.15,1.72
2015-6-29,68,62,74,64,85,50,98,2004,2012,0.53,0.16,1.85
2015-6-30,71,63,79,64,85,48,92,1988,1971,0.02,0.15,1.13
